,sum,mean
三国演义,1207320.0,11389.811320754718
小鲤鱼历险记,114224.0,1077.5849056603774
蛮荒仙界,23418.0,220.9245283018868
美猴王,60084.0,566.8301886792453
哪吒传奇,120841.0,1140.0094339622642
火凤燎原,100646.0,949.4905660377359
天命大主宰,0.0,
赛几传说,0.0,
请吃红小豆吧！食物世界,0.0,
不白吃话山海经,0.0,
聪明的阿凡提,10940.0,103.20754716981132
知宝学堂,0.0,
是王者啊？,0.0,
宝宝乐学堂,0.0,
可可小爱快乐学知识,0.0,
小蜜蜂,126234.0,1190.8867924528302
欢乐小狮子,0.0,
开心动物园,4630.0,43.679245283018865
大侦探熊猫猪,0.0,
乐比悠悠,26829.0,253.10377358490567
奇特益智工程车,0.0,
小神有戏,0.0,
喷喷象小百科,0.0,
中华名人小课堂,0.0,
多多趣味识字课堂,0.0,
趣说中华名人故事,0.0,
菠萝王国,0.0,
中华诗歌故事,0.0,
数学魔法,0.0,
棒波免的海洋之旅,0.0,
荒岛历险记,0.0,
纳尤古传奇,0.0,
嘀嗒传奇,0.0,
纸朋友,0.0,
冒险小王子,12233.0,115.40566037735849
奇趣特工队,0.0,
灵草小战士,0.0,
龙宝小英雄,25187.0,237.61320754716982
闪亮闪亮太伶美,0.0,
魔方战士,0.0,
新大头儿子和小头爸爸传奇兜兜,0.0,
棉花糖和云朵妈妈超级小米花,0.0,
号牛乃唐,0.0,
青田小田鱼,0.0,
我是发明家,0.0,
大运河奇缘,0.0,
嘟嘟小分队,0.0,
魔法可可,0.0,
转战,0.0,
山海宝贝,0.0,
半蛋龙,0.0,
星原小宝,18220.0,171.88679245283018
大宝大牙科学探索,0.0,
绿野森林的故事,0.0,
豆豆一家人,0.0,
超元绝战,0.0,
功夫萌娃,0.0,
土波兔,0.0,
始祖的足迹,0.0,
中华优秀传统文化系列动画片,0.0,
童心向阳,0.0,
凿壁偷光-匡衡的传说,0.0,
孔子见老子,0.0,
孔子归来,0.0,
论语智慧,0.0,
飞天狐和卡卡,0.0,
橡树餐厅,0.0,
汽车星球,0.0,
恐龙时代,32192.0,303.6981132075472
乐园市的快乐日常,0.0,
小鸡丫丫动起来,0.0,
光影天炎战甲,0.0,
百变校巴,0.0,
罗米熊与丹米兔,0.0,
跳跳鱼世界,15713.0,148.23584905660377
小刺猬吉吉,0.0,
工程车救援行动队,0.0,
小小的世界,11489.0,108.38679245283019
鹿宝贝朗迪,0.0,
快乐熊兜兜,0.0,
怪兽家族,0.0,
阿U学英语,0.0,
乌龙院,61854.0,583.5283018867924
乐儿智慧乐园 幼儿启蒙,0.0,
乐儿智慧乐园 世界各国,0.0,
猪猪侠恐龙爆笑研究所,0.0,
猪猪侠爆笑科普乐园,0.0,
百变校巴成语故事,0.0,
核晶少年,0.0,
疯狂小糖,34784.0,328.1509433962264
你好！卟卟,0.0,
百变校巴成长绘本,0.0,
百变校巴英文儿歌,0.0,
奇特工程车,0.0,
漫赏秦腔,0.0,
爸爸妈妈小时候的故事,0.0,
天外福星,0.0,
飞越五千年,0.0,
晓晓成长日记,0.0,
奇奇妙妙博物馆,0.0,
彭祖传奇,0.0,
水果三国,0.0,
杰米熊,13009.0,122.72641509433963
百变布鲁可,40278.0,379.9811320754717
车宝乐园,0.0,
汽车世界城市大冒险,0.0,
公众应急知识,0.0,
鸭丫俱乐部,0.0,
中华廉政故事,0.0,
