anime,score_x,votes_douban,comment_count,review_count
乐比悠悠,7.8,909,100,1
奇特益智工程车,8,0,86,1
小神有戏,8,0,86,1
喷喷象小百科,8,0,86,1
中华名人小课堂,8,0,86,1
多多趣味识字课堂,8,0,86,1
趣说中华名人故事,8,0,86,1
菠萝王国,8,0,86,1
中华诗歌故事,8,0,86,1
数学魔法,8,0,86,1
棒波免的海洋之旅,8,0,86,1
荒岛历险记,8,0,86,1
纳尤古传奇,8,0,86,1
嘀嗒传奇,8,0,86,1
纸朋友,8,0,1,0
冒险小王子,8,0,86,1
奇趣特工队,8,0,14,0
灵草小战士,8,0,18,4
龙宝小英雄,8,0,3,0
闪亮闪亮太伶美,8,0,86,1
魔方战士,8,0,1,0
新大头儿子和小头爸爸传奇兜兜,8,0,86,1
棉花糖和云朵妈妈超级小米花,8,0,86,1
号牛乃唐,8,0,86,1
青田小田鱼,8,0,86,1
我是发明家,8,0,1,0
大运河奇缘,8,0,1,0
嘟嘟小分队,8,0,86,1
魔法可可,8,0,1,0
转战,8,0,86,1
山海宝贝,8,0,23,5
半蛋龙,8,0,86,1
星原小宝,8,0,10,0
大宝大牙科学探索,8,0,86,1
绿野森林的故事,8,0,86,1
豆豆一家人,8,0,86,1
超元绝战,8,0,7,0
功夫萌娃,8,0,86,1
土波兔,8,0,86,1
始祖的足迹,8,0,86,1
中华优秀传统文化系列动画片,8,0,86,1
童心向阳,8,0,86,1
凿壁偷光-匡衡的传说,8,0,86,1
孔子见老子,8,0,86,1
孔子归来,8,0,2,0
论语智慧,8,0,86,1
飞天狐和卡卡,8,0,86,1
橡树餐厅,8,0,20,0
汽车星球,8,0,86,1
恐龙时代,8,0,86,1
乐园市的快乐日常,8,0,86,1
小鸡丫丫动起来,8,0,86,1
光影天炎战甲,8,0,2,0
百变校巴,8,0,86,1
罗米熊与丹米兔,8,0,86,1
跳跳鱼世界,8,0,172,2
小刺猬吉吉,8,0,86,1
工程车救援行动队,8,0,86,1
小小的世界,8,0,86,1
鹿宝贝朗迪,8,0,86,1
快乐熊兜兜,8,0,86,1
怪兽家族,8,0,86,1
阿U学英语,8,0,86,1
乌龙院,8,0,86,1
乐儿智慧乐园 幼儿启蒙,8,0,86,1
乐儿智慧乐园 世界各国,8,0,86,1
猪猪侠恐龙爆笑研究所,8,0,86,1
猪猪侠爆笑科普乐园,8,0,86,1
百变校巴成语故事,8,0,86,1
核晶少年,8,0,21,0
疯狂小糖,8,0,86,1
你好！卟卟,8,0,86,1
百变校巴成长绘本,8,0,86,1
百变校巴英文儿歌,8,0,4,0
奇特工程车,8,0,86,1
漫赏秦腔,8,0,86,1
爸爸妈妈小时候的故事,8,0,86,1
天外福星,8,0,86,1
飞越五千年,8,0,7,0
晓晓成长日记,8,0,86,1
奇奇妙妙博物馆,8,0,86,1
彭祖传奇,8,0,86,1
水果三国,8,0,86,1
杰米熊,8,0,86,1
百变布鲁可,8,0,36,0
车宝乐园,8,0,86,1
汽车世界城市大冒险,8,0,86,1
公众应急知识,8,0,86,1
鸭丫俱乐部,8,0,86,1
中华廉政故事,8,0,86,1
火火兔学古诗,8,0,86,1
快乐熊猫一家人,8,0,86,1
中医药里的故事,8,0,86,1
一千零一夜,5.3,131607,100,20
小猫威力,8,0,86,1
神奇小队,8,0,86,1
神奇画笔看世界,8,0,86,1
小豆的微观世界,8,0,86,1
儿童小百科,8,0,86,1
探索生活小百科,8,0,86,1
木头岛的故事,8,0,86,1
成语诗词荟萃,8,0,86,1
反诈小分队,8,0,86,1
小羊哈哈童年日记,8,0,86,1
桃花夫人,8,0,86,1
快乐小郑星,8,0,86,1
雪王,8,0,86,1
胶囊计划 英雄,8,0,100,7
全职高手荣耀小剧场,8,0,14,0
恰同学少年,9.1,53702,100,18
暂停！智序重组,8,0,37,1
元气奇事,8,0,10,0
紫川,7.5,4230,100,16
开局地摊卖大力,8,0,9,0
在下“英台”,8,0,15,0
双生武魂,8,0,6,0
非人哉,8,0,86,1
是假千金也要手握团宠剧本,8,0,86,1
龙族Ⅱ,8,0,86,1
通灵妃,8,0,86,1
妖神记,8,0,86,1
斗罗大陆剧场版 剑道尘心,8.3,5564,100,19
我为刀宗,8,0,22,0
赵琳的探险日记,8,0,86,1
云深不知梦,8,0,100,4
葫芦兄妹,8,0,86,1
夜光溯明,8,0,86,1
凌天独尊,8,0,11,0
《崩坏：星穹铁道》动画短片：「听！狂欢在那神佑的山巅」,8,0,86,1
【无职转生同人动画】血契之约,8,0,86,1
鬼吹灯,8,0,86,1
后羿,8,0,86,1
武碎星河,8,0,86,1
玲珑骰,8,0,86,1
神墓,8,0,86,1
缥缈剑仙传,8,0,86,1
万剑王座,8,0,86,1
斗破苍穹 年番,8,0,86,1
信息素说我们不可能,8,0,86,1
猫和老鼠：星盘奇缘,8,0,86,1
向着星辰的长征,8,0,86,1
