所属动漫,视频标题,播放量,弹幕数,收藏数,UP主,标签,bvid,url
屈原,"蒋恺｜惜花芷•花平宇｜三国•郭嘉｜东周列国•重耳田单<em class=""keyword"">屈原</em>｜乐游原•崔倚｜一程山路倾尽天下琴师",7944,97,87,清幽庭院锁越王,"三国演义,屈原,混剪,东周列国,影视剪辑,蒋恺,东周列国春秋篇,乐游原,惜花芷,新片新剧产粮大赛,神仙剪刀手3.0",BV1T1421S7QH,https://www.bilibili.com/video/BV1T1421S7QH
屈原,"蒋恺｜二十年前‘霸总’哥哥｜郭嘉<em class=""keyword"">屈原</em>",17116,105,353,清幽庭院锁越王,"三国演义,屈原,郭嘉,混剪,影视剪辑,蒋恺,影视神仙剪刀手,神仙剪刀手2.0,石嘉伟",BV1wa4y1q74A,https://www.bilibili.com/video/BV1wa4y1q74A
屈原,"举世皆浊我独清，众人皆醉我独醒#<em class=""keyword"">屈原</em>",1194,0,7,少年剪辑cut,"历史,屈原,影视剪辑",BV1aM4y1b7os,https://www.bilibili.com/video/BV1aM4y1b7os
屈原,"蒋恺｜重耳<em class=""keyword"">屈原</em>田单郭嘉｜你的眼眸装满了时间，你的身后拥故事成篇｜浮光",13262,119,378,清幽庭院锁越王,"三国演义,屈原,郭嘉,混剪,东周列国,影视剪辑,蒋恺,田单,重耳,影视神仙剪刀手,神仙剪刀手2.0",BV1sK411x72z,https://www.bilibili.com/video/BV1sK411x72z
屈原,"<em class=""keyword"">屈原</em>，是中国历史上第一位真正具有纪念价值的爱国精神缔造者",11118,12,180,巫云蘅,"历史,屈原,爱国,端午节,端午,混剪,中国历史,影视剪辑,蒋凯,经典好剧考古安利,全能追星企划",BV1JX4y1q7kg,https://www.bilibili.com/video/BV1JX4y1q7kg
屈原,"【电视剧<em class=""keyword"">屈原</em>||修庆宋玉个人向混剪】不愧是中国古代四大美男子之一||“体貌闲丽，所受于天也 口多微辞，所受于师也”",22365,134,376,白鸟Arrow,"五月哔刷片·佳片N刷,打卡挑战,修庆,影视剪辑,宋玉,电视剧屈原",BV1p5411u71V,https://www.bilibili.com/video/BV1p5411u71V
屈原,"【<em class=""keyword"">屈原</em>｜蒋恺】最美郭嘉演绎浪漫灵均，在楚国将灭之际发出千古绝唱",6283,4,161,山风与Nene,"历史,屈原,古装,影视剪辑,蒋恺,UP影剧综指南,剧综爆款夏令营-UP影剧综指南",BV1PJ4m1A7Sb,https://www.bilibili.com/video/BV1PJ4m1A7Sb
屈原,"【影视混剪】三闾大夫<em class=""keyword"">屈原</em>，举世皆浊我独清，众人皆醉我独醒",414,0,4,笙华幺幺,"屈原,混剪,影视剪辑,影视混剪,超燃混剪",BV19k4y1w7o1,https://www.bilibili.com/video/BV19k4y1w7o1
屈原,"没有人比他更适合演<em class=""keyword"">屈原</em>！举世皆浊我独清！天选古人！被冤枉一生！他和<em class=""keyword"">屈原</em>就只差一个跳江！太屈了！",1861,9,47,斓潇境,"怀旧,经典,男神,电视剧,郑少秋,屈原,古装,电影剪辑,黄霑,tvb",BV1ik4y1A7qR,https://www.bilibili.com/video/BV1ik4y1A7qR
屈原,"陕西人：要是我们也过端午节的话，那<em class=""keyword"">屈原</em>可能会不高兴啊。",19577,14,32,六点电影v,"历史,电视剧,屈原,端午节,影视剪辑",BV13H7nz6Eea,https://www.bilibili.com/video/BV13H7nz6Eea
屈原,"超清·<em class=""keyword"">屈原</em>/离骚4k“亦余心之所善兮,虽九死其犹未悔”",1304,12,19,沉默寡言一高三毕业,"古风,剪辑,屈原,超清,大秦帝国,混剪,4K,离骚,对话屈原，重读离骚",BV1Pz421R7Za,https://www.bilibili.com/video/BV1Pz421R7Za
屈原,"［蒋恺 | <em class=""keyword"">屈原</em>］  来看看另一款<em class=""keyword"">屈原</em>。",1712,10,34,白桃起泡酒5,"电视剧,屈原,古装,影视剪辑,蒋恺",BV1Bh9bYXEKn,https://www.bilibili.com/video/BV1Bh9bYXEKn
屈原,"【祖峰<em class=""keyword"">屈原</em>】举世皆浊我独清",352,1,7,Calista_wwz,"电视剧,屈原,古装,祖峰,影视剪辑,芈月传",BV1688FzoELW,https://www.bilibili.com/video/BV1688FzoELW
屈原,"【历史同人手书】吟赋离骚（<em class=""keyword"">屈原</em>.司马迁）——无人诗",4001,4,469,一只亮粉er,"手书,同人,司马迁,屈原,忘川风华录,吟赋离骚",BV1tMcSeyEZJ,https://www.bilibili.com/video/BV1tMcSeyEZJ
屈原,"大哥:<em class=""keyword"">屈原</em>跳江？不造啊，不是我推下去的啊！",159936,2,1702,今夕复朝夕,"大哥,剪辑,电视剧,屈原,影视剪辑,娱乐花式reaction,娱乐吃瓜大会7.0",BV1j6DYYpE84,https://www.bilibili.com/video/BV1j6DYYpE84
无脑魔女,"【手书/<em class=""keyword"">无脑魔女</em>】祈雨之歌",9656,7,156,清水因,"bilibili新星计划,手书,无脑魔女,同人",BV1C7411Y7BF,https://www.bilibili.com/video/BV1C7411Y7BF
怪兽小馆,"&quot;欢迎来到<em class=""keyword"">怪兽小馆</em>&quot;",89,0,0,小悠Oo_,"动漫,二次元,影视剪辑,国漫剪辑,怪兽小馆",BV1m84y1S77V,https://www.bilibili.com/video/BV1m84y1S77V
