所属动漫,视频标题,播放量,弹幕数,收藏数,UP主,标签,bvid,url
白蛇：浮生,“小青相亲记！坊主的表演也太好看了吧！”,165874,18,3626,小渔剪辑Y,"搞笑,白娘子,许仙,法海,影视剪辑,小青,坊主,白蛇：浮生,B站好片有奖种草",BV1JEyHYjEkf,https://www.bilibili.com/video/BV1JEyHYjEkf
白蛇：浮生,"“<em class=""keyword"">小青</em>一出现，姐夫立马老实了！”",108575,4,3733,小渔剪辑Y,"搞笑,国产,国漫,许仙,经典电影,白素贞,影视剪辑,小青,白蛇：浮生,B站好片有奖种草",BV1vKynYvExr,https://www.bilibili.com/video/BV1vKynYvExr
白蛇：浮生,“多么幸福美满的家庭，可惜一切都被法海毁了！”,509,0,6,梁航说剧,"影视,动画电影,许仙,法海,白蛇传,电影剪辑,电影解说,白蛇：浮生,B站好片有奖种草",BV1nnRgYrE2n,https://www.bilibili.com/video/BV1nnRgYrE2n
白蛇：浮生,这样的许仙，才值得白素贞水漫金山！,1550,1,17,梁航说剧,"影视,动画电影,许仙,法海,白蛇传,电影剪辑,电影解说,白蛇：浮生,B站好片有奖种草",BV1pLdUYpECV,https://www.bilibili.com/video/BV1pLdUYpECV
白蛇：浮生,“多么幸福美满的家庭，可惜一切都被法海毁了！”,509,0,6,梁航说剧,"影视,动画电影,许仙,法海,白蛇传,电影剪辑,电影解说,白蛇：浮生,B站好片有奖种草",BV1nnRgYrE2n,https://www.bilibili.com/video/BV1nnRgYrE2n
白蛇：浮生,“多么幸福美满的家庭，可惜一切都被法海毁了！”,1131,1,12,妍儿影院,"电影,影视,动画电影,许仙,法海,白蛇传,视频剪辑,白蛇：浮生,B站好片有奖种草",BV1zDoAYRE5t,https://www.bilibili.com/video/BV1zDoAYRE5t
白蛇：浮生,其实我看小青也是风韵犹存啊!,97699,29,562,零度聊剧,"电影,影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1hndbY7Erk,https://www.bilibili.com/video/BV1hndbY7Erk
白蛇：浮生,如果不是法海他们定当人妖幸福一生!,333,1,5,梁航说剧,"影视,动画电影,许仙,法海,白蛇传,电影剪辑,电影解说,白蛇：浮生,B站好片有奖种草",BV1FGXvYTEhy,https://www.bilibili.com/video/BV1FGXvYTEhy
白蛇：浮生,“多么幸福美满的家庭，可惜一切都被法海毁了！”,1131,1,12,妍儿影院,"电影,影视,动画电影,许仙,法海,白蛇传,视频剪辑,白蛇：浮生,B站好片有奖种草",BV1zDoAYRE5t,https://www.bilibili.com/video/BV1zDoAYRE5t
白蛇：浮生,如果不是法海他们定当人妖幸福一生!,333,1,5,梁航说剧,"影视,动画电影,许仙,法海,白蛇传,电影剪辑,电影解说,白蛇：浮生,B站好片有奖种草",BV1FGXvYTEhy,https://www.bilibili.com/video/BV1FGXvYTEhy
白蛇：浮生,许仙：这次换我守护你！,9632,14,73,瓜哥影探,"电影,影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV15w99YSEvJ,https://www.bilibili.com/video/BV15w99YSEvJ
白蛇：浮生,如果不是法海他们定当人妖幸福一生!,1546,0,10,零度聊剧,"电影,影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1EJdUYSEfJ,https://www.bilibili.com/video/BV1EJdUYSEfJ
白蛇：浮生,宝青坊主究竟什么来历，实力竟然这么强，她的仇人又是谁！,40160,4,145,零度聊剧,"电影,影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1JJdUYSEPj,https://www.bilibili.com/video/BV1JJdUYSEPj
白蛇：浮生,许仙：这次换我守护你！,9632,14,73,瓜哥影探,"电影,影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV15w99YSEvJ,https://www.bilibili.com/video/BV15w99YSEvJ
白蛇：浮生,如果不是法海他们定当人妖幸福一生!,1546,0,10,零度聊剧,"电影,影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1EJdUYSEfJ,https://www.bilibili.com/video/BV1EJdUYSEfJ
白蛇：浮生,宝青坊主究竟什么来历，实力竟然这么强，她的仇人又是谁啊！,1157,0,8,文文聊影,"电影,影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1EHdUYEELQ,https://www.bilibili.com/video/BV1EHdUYEELQ
白蛇：浮生,许仙：这次换我守护你！,6675,0,24,梁航影院,"爱情,剪辑,动画电影,许仙,法海,白蛇传,影视剪辑,白蛇：浮生",BV1WgdUYdEzg,https://www.bilibili.com/video/BV1WgdUYdEzg
白蛇：浮生,白蛇从未害过人！法海你瞎了么？小白跟许仙的爱情真虐啊！,1207,2,14,搁浅影视,"电影,影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV18FdUYYESa,https://www.bilibili.com/video/BV18FdUYYESa
白蛇：浮生,这样的许仙，才值得白素贞水漫金山！,9312,2,54,文文聊影,"电影,影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1JJdUYSEKh,https://www.bilibili.com/video/BV1JJdUYSEKh
